"base_value_quasi","b_value_quasi","w_value_quasi","b_quasi","w_quasi","r_quasi","m_quasi","dist_w_quasi"
0.193441972449482,1,0.0931680702530892,1,1,0.0182687569151638,0.020537871921969,0.193441972449482
0.430256769026407,1,0.073233335052065,1,1,0.00496987285473371,0.0212198791743703,0.430256769026407
0.329743149610909,1,0.0720334575008919,1,1,0.0307382394994993,0.0174202042790591,0.329743149610909
1.42752104087509,1,0.0692821515690509,1,1,0.00563741410062931,0.018653036728433,1.42752104087509
0.886542958105821,1,0.0848613642286243,1,1,0.0178174480886757,0.0200455465228688,0.886542958105821
NA,NA,NA,NA,NA,NA,NA,0
0.56432323486235,1,0.0950408454428514,1,1,0.0083331116481517,0.019817249305418,0.56432323486235
0.241192458187828,1,0.0788324151129162,1,1,0.0237203223269995,0.0138884514744134,0.241192458187828
0.77236754134874,1,0.0832523051005753,1,1,0.0142053410306233,0.0164348536490749,0.77236754134874
0.364278418679507,1,0.0753097129390252,1,1,0.0318826397873334,0.0137011712518358,0.364278418679507
0.283754189682087,1,0.0771380365281218,1,1,0.0757046818032745,0.0205382590008058,0.283754189682087
0.469777140171464,1,0.0984291455284283,1,1,0.0447302646362558,0.0192814372776764,0.469777140171464
0.279229147006872,1,0.0710288199778351,1,1,0.00888246225571431,0.0154243969986534,0.279229147006872
0.433270203905649,1,0.0757550540345571,1,1,0.0306701873298219,0.0198120830986626,0.433270203905649
0.719663001006664,1,0.0933685513956004,1,1,0.0375868729720802,0.0211189301000693,0.719663001006664
0.42142671591913,1,0.100501493959038,1,1,0.00360870535624741,0.0190971489289222,0.42142671591913
0.342955417586616,1,0.0887444300733017,1,1,0.0110646044394239,0.0176715775625367,0.342955417586616
